Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,"39,595"
200508,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,"1,902"
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,"8,901"
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,"9,020"
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,"7,541"
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,"9,333"
200508,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,"1,902"
200508,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,"6,739"
200508,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,"5,966"
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,"162,064"
200508,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,"157,700"
200508,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,"5,233"
200508,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,"4,866"
200508,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,"4,099"
200508,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,"3,376"
200508,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"1,735"
200508,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"1,560"
200508,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,353
200508,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Enplaned,Other,International,A,751
200508,Boeing Company,,Boeing Company,,Domestic,US,Deplaned,Other,Other,Other,18
200508,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,"20,312"
200508,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,"20,084"
200508,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,"11,753"
200508,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,"9,050"
200508,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,"14,610"
200508,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,"10,972"
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,"97,343"
200508,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,"97,160"
200508,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,"13,524"
200508,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,"11,950"
200508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,"17,109"
200508,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,"17,186"
200508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,"7,923"
200508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,"7,751"
200508,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,"5,572"
